Food,Serving,Serving in grams (or # servings),Calories per serving,Notes,,Calories per serving,,,,,,,,,,,
1 Medium muffin,1,1,340,,,0.00,,,,,,,,,,,
Adobo,1 cup,241,454,,,0.00,,,,,,,,,,,
Anko dango,3 balls with anko,1,161,,,0.00,,,,,,,,,,,
Avocado,100g,100,160,,,0.00,,,,,,,,,,,
Baguette,50g,50,130,,,0.00,,,,,,,,,,,
Baked beans,100g,100,155,,,0.00,,,,,,,,,,,
Baked ziti,100g,100,156,,,0.00,,,,,,,,,,,
Banana,1 medium,1,105,,,0.00,,,,,,,,,,,
Banana bread,100g,100,326,,,0.00,,,,,,,,,,,
Banana bread,100g,100,323,,,0.00,,,,,,,,,,,
Banana chips,30g,30,150,,,0.00,,,,,,,,,,,
Beef masala curry,200g,200,277,,,0.00,,,,,,,,,,,
Beef Tapa,80g,80,164,,,0.00,,,,,,,,,,,
Beef udon,1 bowl/3 cups,837,638,,,0.00,,,,,,,,,,,
Bibimbap,1 bowl,864,972,,,0.00,,,,,,,,,,,
Bicol express,1 cup,263,605,,,0.00,,,,,,,,,,,
Black beans and rice,100g,100,151,,,0.00,,,,,,,,,,,
Blue cheese dressing,1 tbsp,1,73,,,0.00,,,,,,,,,,,
Blueberry cheesecake,222g,222,495,,,0.00,,,,,,,,,,,
Blueberry jam (hero),1 tbsp,20,50,,,0.00,,,,,,,,,,,
Bok choy (Stir fried),369g,369,84,,,0.00,,,,,,,,,,,
Bread,2 slices,1,153,,,0.00,,,,,,,,,,,
Bread pudding,1 cup,200,377,,,0.00,,,,,,,,,,,
Bread sticks,100g,100,412.00,,,0.00,,,,,,,,,,,
Brioche,85g,85,292,,,0.00,,,,,,,,,,,
Brussel sprouts (roasted),1 cup,162,135,,,0.00,,,,,,,,,,,
Buffalo wings,1 wing,37,70,,,0.00,,,,,,,,,,,
Burrito (no cheese),1,1,350,,,0.00,,,,,,,,,,,
Butter,1 tbsp,15,110,,,0.00,,,,,,,,,,,
Cabbage and sausage,1 oz,28,25,,,0.00,,,,,,,,,,,
Caldereta (Purefoods),112g,112,319,,,0.00,,,,,,,,,,,
Caramel ice cream,100g,100,214,,,0.00,,,,,,,,,,,
Carbonara,1 cup,169,336,,,0.00,,,,,,,,,,,
Carrot fried,227g,227,133,,,0.00,,,,,,,,,,,
Cashews roasted,1 cashew,1.6,9.1,,,0.00,,,,,,,,,,,
Chapatha,100g,100,297,,,0.00,,,,,,,,,,,
Cheesecake,100g,100,321,,,0.00,,,,,,,,,,,
Chia seeds,100g,100,486,,,0.00,,,,,,,,,,,
Chicken adobo,1 cup,221,392,,,0.00,,,,,,,,,,,
Chicken biryani,300g,300,417,,,0.00,,,,,,,,,,,
Chicken curry,1 bowl,1,242,,,0.00,,,,,,,,,,,
Chicken korma curry,100g,100,166,,,0.00,,,,,,,,,,,
Chicken noodle soup,100g,100,41,,,0.00,,,,,,,,,,,
Chicken nugget,100g,100,296,,,0.00,,,,,,,,,,,
Chicken ramen (nissin),1 pack?,1,380,,,0.00,,,,,,,,,,,
Chinese fried rice,100g,100,163,,,0.00,,,,,,,,,,,
Chocolate chip banana bread,90g,90,279,,,0.00,,,,,,,,,,,
Chocolate chip cookie,100g,100,488,,,0.00,,,,,,,,,,,
Ciabatta,2 oz,57,131,,,0.00,,,,,,,,,,,
Cinnamon roll (starbucks),1 roll,118,420,,,0.00,,,,,,,,,,,
Coconut chicken (tinutungan?),1 cup,135,280,,,0.00,,,,,,,,,,,
Coconut pork curry,100g,100,420,,,0.00,,,,,,,,,,,
Coffee cake,100g,100,331,,,0.00,,,,,,,,,,,
Cold Brew Coffee (1-1),"1 mug ish (1/2 mug of cold brew, 1 teaspoon each sugar and milk powder)",1,35,,,0.00,,,,,,,,,,,
Corned tuna,93g times 2 in 1 can,93,56,,,0.00,,,,,,,,,,,
Crackers,100g,100,421,,,0.00,,,,,,,,,,,
Curry pasta,126g,126,165,,,0.00,,,,,,,,,,,
Curry udon,1 cup,473,492,,,0.00,,,,,,,,,,,
Donut (plain),1,1,200,,,0.00,,,,,,,,,,,
Duck congee/porridge,573,573,596,,,0.00,,,,,,,,,,,
Dumpling,100g,100,112,,,0.00,,,,,,,,,,,
Eden cheese,30g,30,90,,,0.00,,,,,,,,,,,
Egg (boiled),1,1,70,,,0.00,,,,,,,,,,,
Egg (scrambled),1 piece,1,91,,,0.00,,,,,,,,,,,
Filipino fruit salad,202g,202,211,,,0.00,,,,,,,,,,,
Fish and tofu (Chinese),200g,200,327,,,0.00,,,,,,,,,,,
Fish cake (korean),120g,120,175,,,0.00,,,,,,,,,,,
Flatbread (cheese and tomato),54g,54,145,,,0.00,,,,,,,,,,,
Foccacia,100g,100,250,,,0.00,,,,,,,,,,,
French fries (baked),1 cup,58,83,,,0.00,,,,,,,,,,,
Froot Loops,1 cup (29g),29,110,,,0.00,,,,,,,,,,,
Frosted Flakes,100g,100,369,,,0.00,,,,,,,,,,,
Fruity Pebbles,100g,100,400,,,0.00,,,,,,,,,,,
Garlic fried rice,100g,100,168,,,0.00,,,,,,,,,,,
Ginataang Sitaw Kalabasa,1 cup,180,398,,,0.00,,,,,,,,,,,
Gising-gising,174g,174,159,source: noom,,0.00,,,,,,,,,,,
Gouda,1 slice,1,68,,,0.00,,,,,,,,,,,
Grape jam (concord smuckers),1 tbsp,1,50,,,0.00,,,,,,,,,,,
Green beans fried,100g,100,177.6,,,0.00,,,,,,,,,,,
Grilled cheese sandwich,1 sandwich,1,440,,,0.00,,,,,,,,,,,
Ground pork fried,100g,100,297,,,0.00,,,,,,,,,,,
Ham (Lotte korean) ,30g,30,65,,,0.00,,,,,,,,,,,
Hash brown,1 pattie,1,130,,,0.00,,,,,,,,,,,
Hazelnut latte (Nescafe),1,1,74,,,0.00,,,,,,,,,,,
Honey,1 tsp,7,21,,,0.00,,,,,,,,,,,
Honey mustard dip,1 tbsp,1,69,,,0.00,,,,,,,,,,,
Hong Kong fried noodles,292g,292,466,,,0.00,,,,,,,,,,,
Hot chocolate,1 cup,1,120,,,0.00,,,,,,,,,,,
Indomie mi goreng,1 pack,1,410,,,0.00,,,,,,,,,,,
Kimchi,1 cup,150,23,,,0.00,,,,,,,,,,,
Kimchi fried rice,200g,200,149,,,0.00,,,,,,,,,,,
Kouign Amann,93.5g,93.5,339,,,0.00,,,,,,,,,,,
Krispy Kreme glazed donut,1 donut,1,190,,,0.00,,,,,,,,,,,
Laing,1 cup,75,240,,,0.00,,,,,,,,,,,
Lemon cookie,"1 2"" cookie",23,91,,,0.00,,,,,,,,,,,
Lemon salmon,125g (1 pack),125,289,,,0.00,,,,,,,,,,,
Liege waffle,99g,99,420,,,0.00,,,,,,,,,,,
Lowfat milk (Emborg),100 ml,100,47,,,0.00,,,,,,,,,,,
Mac and cheese calories,100g,100,164,,,0.00,,,,,,,,,,,
Machang,100g,100,190,,,0.00,,0,,,,,,,,,
Maki,1 roll,1,300,,,0.00,,,,,,,,,,,
Mango,100g ,100,60,,,0.00,,,,,,,,,,,
Mapo tofu,2 cups,471,482,,,0.00,,,,,,,,,,,
Mapo tofu (vegetarian),2 cups,412,377,,,0.00,,,,,,,,,,,
Margherita pizza,"1 14"" slice (107g)",107,285,,,0.00,,,,,,,,,,,
Mashed potatoes,100g,100,88,15.1 grams per tablespoon,,0.00,,,,,,,,,,,
Mayonnaise,1 tbsp,13.8,94,,,0.00,,,,,,,,,,,
Mayver's super spread,1 tbsp,20,128,,,0.00,,,,,,,,,,,
Meatloaf,100g,100,149,,,0.00,,,,,,,,,,,
Milk (powdered),1 tsp,1,17,,,0.00,,,,,,,,,,,
Miso,100g,100,176,,,0.00,,,,,,,,,,,
Mixed veg (sauteed),1 cup,140,45,,,0.00,,,,,,,,,,,
Mochi (store),1 pc,1,90,,,0.00,,,,,,,,,,,
Moong dal curry,1 cup (206g),206,236,No butter added; estimate a bit more,,0.00,,,,,,,,,,,
Oatmeal (cooked),1 cup (234g),234,158,,,0.00,,,,,,,,,,,
Olive oil extra virgin,1 tbsp,1,120,,,0.00,,,,,,,,,,,
Palak paneer,1 cup,168,325,,,0.00,,,,,,,,,,,
Pancakes,100g,100,227,,,0.00,,,,,,,,,,,
Pancit canton (cooked),1 cup,209,207,,,0.00,,,,,,,,,,,
Pancit canton calamnasi (lucky me),1,1,351,,,0.00,,,,,,,,,,,
Parmesan,1 tbsp,5,20,,,0.00,,,,,,,,,,,
Pasta salad,1 cup,204,414,,,0.00,,,,,,,,,,,
Peanut butter (generic),1 tablespoon (20g),20,95,,,0.00,,,,,,,,,,,
Peanut butter (lily's),1 tablespoon (20g),20,120,,,0.00,,,,,,,,,,,
Peas (fried),1 cup,182,237,,,0.00,,,,,,,,,,,
Peas and rice,100g,100,145,,,0.00,,,,,,,,,,,
Pechay,100g,100,10,,,0.00,,,,,,,,,,,
Pesto pasta,1 cu,169,367,,,0.00,,,,,,,,,,,
Pizza,1 slice,107,285,,,0.00,,,,,,,,,,,
Popcorn homemade without butter,1 cup,8.5,35,,,0.00,,,,,,,,,,,
Pork giniling,1 cup,201,246,,,0.00,,,,,,,,,,,
Pork udon,1 bowl,460,428,,,0.00,,,,,,,,,,,
Pork sauteed,3 oz,84,178,,,0.00,,,,,,,,,,,
Potato chips baked,28g,28,120,,,0.00,,,,,,,,,,,
Potato salad with egg,100g,100,157,,,0.00,,,,,,,,,,,
Protein smoothie,1,1,138,,,0.00,,,,,,,,,,,
Puto,1 oz,28,77,,,0.00,,,,,,,,,,,
Quiche (crustless),100g,100,231,,,0.00,,,,,,,,,,,
Raisins,1 oz/50 raisins (26g),26,78,,,0.00,,,,,,,,,,,
Refried beans,1 tbsp,1,30,,,0.00,,,,,,,,,,,
Revel bar,57g,57,239,,,0.00,,,,,,,,,,,
Rice,1 cup (158g),158,206,,,0.00,,,,,,,,,,,
Roast chicken,100g,100,239,,,0.00,,,,,,,,,,,
Roast chickpeas,100g,100,364,,,0.00,,,,,,,,,,,
Roti,100g,100,297,,,0.00,,,,,,,,,,,
Saba (boiled),2 pieces,2,220,,,0.00,,,,,,,,,,,
Sardine pasta,1 cup,200,343,,,0.00,,,,,,,,,,,
Sardines (spanish D Elena),2 oz,57,170,,,0.00,,,,,,,,,,,
Sardines (spanish pandemnl),4,55,250,,,0.00,,,,,,,,,,,
Sauerkraut,100g,100,19,,,0.00,,,,,,,,,,,
Sauteed broccoli,1 cup,156,70,,,0.00,,,,,,,,,,,
Sauteed chicken,100g,100,223,,,0.00,,,,,,,,,,,
Scone,115g,115,398,,,0.00,,,,,,,,,,,
Seafood pancake,1,314,464,,,0.00,,,,,,,,,,,
Sesame oil,1 tsp,1,40,,,0.00,,,,,,,,,,,
Shrimp,1 piece,1,7,,,0.00,,,,,,,,,,,
Shrimp roll (egg roll type),1 piece,130,164,,,0.00,,,,,,,,,,,
Shumai,1 pc,27,59,,,0.00,,,,,,,,,,,
Siopao / pork bao,93g,93,217,,,0.00,,,,,,,,,,,
Snickerdoodle,1 piece,1,90,,,0.00,,,,,,,,,,,
Soy chicken,214g,214,382,,,0.00,,,,,,,,,,,
spaghetti (plain noodles),1 cup,140,221,,,0.00,,,,,,,,,,,
Spaghetti bolognese,2 cups (330g),330,333.5,,,0.00,,,,,,,,,,,
Spaghetti pomodoro,1 cup,248,318,,,0.00,,,,,,,,,,,
Spaghetti sauce (Filipino style pack),125g (1 pack),125,70,,,0.00,,,,,,,,,,,
Squash soup,2 cups,490,220,,,0.00,,,,,,,,,,,
Steak,100g,100,271,,,0.00,,,,,,,,,,,
Steamed rice roll,136g,136,161,,,0.00,,,,,,,,,,,
Strawberry jam (cheap),100g,100,278,,,0.00,,,,,,,,,,,
Sugar,1 tsp,1,15,,,0.00,,,,,,,,,,,
Suman,1 piece,1,63,,,0.00,,,,,,,,,,,
Sweet and sour pork,100g,100,270,,,0.00,,,,,,,,,,,
Sweet potato chips (kamote chips),28g,28,148,,,0.00,,,,,,,,,,,
Taco (soft chicken no cheese),1,1,130,,,0.00,,,,,,,,,,,
Tamago,76g,76,103,,,0.00,,,,,,,,,,,
Thit kho,4 oz,112,227,,,0.00,,,,,,,,,,,
Tofu sauteed,1 cup,217,162,,,0.00,,,,,,,,,,,
Tomato,100g,100,18,,,0.00,,,,,,,,,,,
Tomato sauce,100g,100,29,,,0.00,,,,,,,,,,,
Tomato sauteed,0.5 cup,149,27,,,0.00,,,,,,,,,,,
Tonkatsu,199g,199,498,,,0.00,,,,,,,,,,,
Tonkatsu sauce,1 tbsp,1,20,,,0.00,,,,,,,,,,,
Trail Mix,100g,100,462,,,0.00,,,,,,,,,,,
Tuna,56g (3 per can),56,100,,,0.00,,,,,,,,,,,
Tuna curry,56g (3 per can),56,84,,,0.00,,,,,,,,,,,
Tuna salad,"2 small cans, 2 tbsp mayo",1,788,,,0.00,,,,,,,,,,,
Tupig,13 pcs,13,686,,,0.00,,,,,,,,,,,
Various dimsum,52g,52,120,,,0.00,Used dumplings calories,,,,,,,,,,
Veega meatballs,4 pieces,4,140,,,0.00,,,,,,,,,,,
Vermicceli soup,170g,170,120,,,0.00,,,,,,,,,,,
Vienna sausage,1 pc,1,37,,,0.00,,,,,,,,,,,
White beans boiled,100g,100,140,,,0.00,,,,,,,,,,,
White bread,100g,100,265,,,0.00,,,,,,,,,,,
White cheddar,100g,100,409,,,0.00,,,,,,,,,,,
Whole wheat bread gardenia,2 slices,2,170,,,0.00,,,,,,,,,,,
Whole wheat roll, 36g,36,96,,,0.00,,,,,,,,,,,
Yema spread,15g,15,50,,,0.00,,,,,,,,,,,
Zenzai,1 cup,150.5,336,,,0.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Foccacia and tea,,"Fried egg, rice, tiny bit chili bean paste",418,,,Liege waffle,225,Iced tea - homemade!,30,foccacia,175,,
